,episode,score
1001,1001,12.0
1002,1002,14.0
1003,1003,20.0
1004,1004,14.0
1005,1005,23.0
1006,1006,13.0
1007,1007,21.0
1008,1008,16.0
1009,1009,15.0
1010,1010,14.0
1011,1011,17.0
1012,1012,20.0
1013,1013,9.0
1014,1014,19.0
1015,1015,18.0
1016,1016,19.0
1017,1017,15.0
1018,1018,13.0
1019,1019,18.0
1020,1020,23.0
1021,1021,20.0
1022,1022,17.0
1023,1023,18.0
1024,1024,14.0
1025,1025,17.0
1026,1026,15.0
1027,1027,16.0
1028,1028,16.0
1029,1029,17.0
1030,1030,20.0
1031,1031,16.0
1032,1032,16.0
1033,1033,15.0
1034,1034,20.0
1035,1035,16.0
1036,1036,20.0
1037,1037,21.0
1038,1038,20.0
1039,1039,13.0
1040,1040,20.0
1041,1041,12.0
1042,1042,20.0
1043,1043,13.0
1044,1044,12.0
1045,1045,19.0
1046,1046,18.0
1047,1047,16.0
1048,1048,16.0
1049,1049,13.0
1050,1050,18.0
1051,1051,20.0
1052,1052,15.0
1053,1053,17.0
1054,1054,18.0
1055,1055,11.0
1056,1056,18.0
1057,1057,13.0
1058,1058,14.0
1059,1059,16.0
1060,1060,23.0
1061,1061,13.0
1062,1062,18.0
1063,1063,13.0
1064,1064,14.0
1065,1065,16.0
1066,1066,19.0
1067,1067,16.0
1068,1068,15.0
1069,1069,17.0
1070,1070,16.0
1071,1071,12.0
1072,1072,17.0
1073,1073,15.0
1074,1074,19.0
1075,1075,13.0
1076,1076,23.0
1077,1077,21.0
1078,1078,18.0
1079,1079,11.0
1080,1080,16.0
1081,1081,14.0
1082,1082,20.0
1083,1083,23.0
1084,1084,21.0
1085,1085,11.0
1086,1086,17.0
1087,1087,18.0
1088,1088,19.0
1089,1089,15.0
1090,1090,17.0
1091,1091,22.0
1092,1092,16.0
1093,1093,23.0
1094,1094,18.0
1095,1095,9.0
1096,1096,25.0
1097,1097,16.0
1098,1098,11.0
1099,1099,12.0
1100,1100,13.0
1101,1101,14.0
1102,1102,12.0
1103,1103,11.0
1104,1104,15.0
1105,1105,18.0
1106,1106,14.0
1107,1107,19.0
1108,1108,17.0
1109,1109,12.0
1110,1110,19.0
1111,1111,16.0
1112,1112,16.0
1113,1113,23.0
1114,1114,19.0
1115,1115,21.0
1116,1116,24.0
1117,1117,17.0
1118,1118,18.0
1119,1119,15.0
1120,1120,20.0
1121,1121,15.0
1122,1122,15.0
1123,1123,16.0
1124,1124,12.0
1125,1125,7.0
1126,1126,25.0
1127,1127,20.0
1128,1128,13.0
1129,1129,16.0
1130,1130,21.0
1131,1131,15.0
1132,1132,15.0
1133,1133,13.0
1134,1134,15.0
1135,1135,11.0
1136,1136,14.0
1137,1137,11.0
1138,1138,19.0
1139,1139,17.0
1140,1140,11.0
1141,1141,12.0
1142,1142,19.0
1143,1143,23.0
1144,1144,18.0
1145,1145,18.0
1146,1146,13.0
1147,1147,14.0
1148,1148,19.0
1149,1149,15.0
1150,1150,20.0
1151,1151,14.0
1152,1152,16.0
1153,1153,13.0
1154,1154,13.0
1155,1155,12.0
1156,1156,12.0
1157,1157,18.0
1158,1158,21.0
1159,1159,16.0
1160,1160,16.0
1161,1161,21.0
1162,1162,19.0
1163,1163,19.0
1164,1164,15.0
1165,1165,17.0
1166,1166,6.0
1167,1167,14.0
1168,1168,17.0
1169,1169,21.0
1170,1170,14.0
1171,1171,19.0
1172,1172,14.0
1173,1173,16.0
1174,1174,10.0
1175,1175,19.0
1176,1176,19.0
1177,1177,23.0
1178,1178,14.0
1179,1179,19.0
1180,1180,16.0
1181,1181,9.0
1182,1182,18.0
